"species","dataset","tissue","condition","n","ngenes","design","assay","sample_type","accession","citation","license","file","status","note"
"baboon","GSE98965","TES","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_TES_All.rds","ingested",NA
"baboon","GSE98965","OMF","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_OMF_All.rds","ingested",NA
"baboon","GSE98965","WAM","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_WAM_All.rds","ingested",NA
"baboon","GSE98965","WAP","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_WAP_All.rds","ingested",NA
"baboon","GSE98965","WAR","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_WAR_All.rds","ingested",NA
"baboon","GSE98965","WAS","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_WAS_All.rds","ingested",NA
"baboon","GSE98965","WAT","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_WAT_All.rds","ingested",NA
"baboon","GSE98965","SKI","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_SKI_All.rds","ingested",NA
"baboon","GSE98965","BLA","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_BLA_All.rds","ingested",NA
"baboon","GSE98965","KIC","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_KIC_All.rds","ingested",NA
