"species","dataset","tissue","tissue_canonical","design","condition","n","ngenes","tod_min","tod_max","tod_sd","tod_n_unique","tod_cycles","tod_step_hr","tod_phases","r_median_top300","r_q25_top300","r_q75_top300","prop_rhythmic"
"baboon","GSE98965","VMH","Ventromedial hypothalamus","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",2.041,1.906,2.243,0.0942
"baboon","GSE98965","AOR","Aorta (endothelium)","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",1.886,1.732,2.16,0.0225
"baboon","GSE98965","HEA","Heart","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",2.404,2.266,2.612,0.2995
"baboon","GSE98965","MUA","Muscle, abdominal","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",2.07,1.921,2.358,0.1087
"baboon","GSE98965","MUG","Muscle, gastrocnemius","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",2.184,2.05,2.396,0.1359
"baboon","GSE98965","ANT","Antrum (stomach)","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",2.16,1.98,2.505,0.1122
"baboon","GSE98965","ASC","Ascending colon","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",1.831,1.712,2.029,0.0437
"baboon","GSE98965","CEC","Cecum","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",1.893,1.733,2.091,0.0638
"baboon","GSE98965","DEC","Descending colon","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",1.8,1.707,2.052,0.0166
"baboon","GSE98965","DUO","Duodenum","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",2.139,1.989,2.321,0.1041
"baboon","GSE98965","ILE","Ileum","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",2.283,2.161,2.466,0.2094
"baboon","GSE98965","OES","Esophagus","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",1.887,1.737,2.242,0.0223
"baboon","GSE98965","SMM","Smooth muscle","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",1.831,1.719,2.017,0.0261
"baboon","GSE98965","STF","Stomach fundus","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",2.402,2.292,2.538,0.2934
"mouse","GSE54651","ADR","Adrenal gland","active","All",8,15836,4,22,7.17,4,1.75,"6","   4,  10,  16,  22",3.944,3.503,4.784,0.0419
"mouse","GSE54651","AOR","Aorta (endothelium)","active","All",8,15468,4,22,7.17,4,1.75,"6","   4,  10,  16,  22",3.762,3.445,4.465,0.036
"mouse","GSE54651","CER","Cerebellum","active","All",8,15546,4,22,7.17,4,1.75,"6","   4,  10,  16,  22",3.37,2.995,4.026,0.0255
"mouse","GSE54651","HEA","Heart","active","All",8,14776,4,22,7.17,4,1.75,"6","   4,  10,  16,  22",4.487,3.986,5.528,0.0677
"mouse","GSE54651","HYP","Hypothalamus","active","All",8,16226,4,22,7.17,4,1.75,"6","   4,  10,  16,  22",3.111,2.792,3.606,0.0168
"mouse","GSE54651","KIC","Kidney cortex","active","All",8,15344,4,22,7.17,4,1.75,"6","   4,  10,  16,  22",4.699,4.317,5.714,0.0758
"mouse","GSE54651","LIV","Liver","active","All",8,14200,4,22,7.17,4,1.75,"6","   4,  10,  16,  22",4.637,4.092,5.43,0.0785
"mouse","GSE54651","LUN","Lung","active","All",8,15964,4,22,7.17,4,1.75,"6","   4,  10,  16,  22",3.777,3.367,4.434,0.0357
"mouse","GSE54651","MUS","Skeletal muscle","active","All",8,14819,4,22,7.17,4,1.75,"6","   4,  10,  16,  22",3.726,3.288,4.544,0.0372
"mouse","GSE10644","Colon","Colon","active","All",18,45101,0,20,7.03,6,0.83,"4","   0,   4,   8,  12,  16,  20",1.31,1.252,1.451,0.0071
"mouse","GSE78215","Cortex","Cortex","active","Control",34,41345,0,23,6.67,22,4.83,"irregular","   0..  23 (22 phases)",0.905,0.811,1.003,0.0079
"mouse","GSE11923","Liver","Liver","active","All",48,45101,0,23,7,24,197.79,"1","   0..  23 (24 phases)",0.684,0.663,0.73,0.0017
"mouse","GSE11516","Liver","Liver","active","DD",36,46628,1,19,6.68,9,18.42,"irregular","   1,   2,   3,   9,  10,  11,  17,  18,  19",0.953,0.909,1.027,0.0154
"mouse","GSE27366","Kidney","Kidney","active","WT",22,35556,0,20,7.17,6,0.83,"4","   0,   4,   8,  12,  16,  20",1.847,1.693,2.036,0.0585
"mouse","GSE27366","Kidney","Kidney","active","ClockKO",22,35556,0,20,7.17,6,0.83,"4","   0,   4,   8,  12,  16,  20",1.847,1.693,2.036,0.0585
"mouse","GSE35026","Adipose","Adipose","active","WT",24,35556,0,18,6.85,4,0.75,"6","   0,   6,  12,  18",1.457,1.386,1.585,0.0489
"mouse","GSE35026","Adipose","Adipose","active","Bmal1KO",24,35556,0,18,6.85,4,0.75,"6","   0,   6,  12,  18",1.457,1.386,1.585,0.0489
"mouse","GSE84580","Muscle","Muscle","active","All",104,45141,0,20,6.7,6,0.83,"4","   0,   4,   8,  12,  16,  20",1.314,1.246,1.465,0.4284
"mouse","GSE54650","Atlas","Atlas","active","All",288,35556,0,22,6.92,12,1.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",0.332,0.299,0.438,0.0107
"mouse","GSE201207","Brain","Brain","active","All",216,43630,2,22,6.85,6,1.83,"4","   2,   6,  10,  14,  18,  22",0.341,0.328,0.356,0.0139
"mouse","GSE70497","Liver","Liver","active","All",48,23732,0,20,6.9,6,0.83,"4","   0,   4,   8,  12,  16,  20",0.72,0.689,0.768,0.0153
"mouse","GSE36975","Brain","Brain","active","All",24,21788,0,22,8.59,4,0.92,"irregular","   0,   4,  16,  22",3.434,3.052,3.969,0.1784
"mouse","GSE38622","SCN","Suprachiasmatic nuclei","active","All",13,35557,6,22,6.9,3,200,"8","   6,  14,  22",1.76,1.649,1.997,0.01
"mouse","GSE83855","Liver","Liver","active","All",24,24844,0,20,7.91,6,11.83,"4","   0,   4,   8,  12,  16,  20",1.254,1.184,1.367,0.027
"human","GSE48113","Blood","Blood","passive","All",286,43758,0,23.9,7.19,173,1,"irregular","   0..23.9 (173 phases)",0.321,0.291,0.39,0.0064
"human","GSE39445","Blood","Blood","passive","All",438,43758,0,23.8,6.62,264,0.99,"0.1","   0..23.8 (264 phases)",0.56,0.527,0.593,0.2607
"human","GSE104674","Adipose_Subcutaneous","Adipose Subcutaneous","active","All",48,19820,0.2,15.5,5.8,4,0.64,"irregular","0.25,5.75,11.2,15.5",0.94,0.838,1.057,0.0374
"rat","GSE46069","Pineal_Retina","Pineal Retina","active","All",14,14742,1,23,7.4,6,0.92,"irregular","   1,   7,  13,  15,  19,  23",1.643,1.519,1.864,0.0053
"rat","GSE25612","Lung","Lung","active","All",54,31099,0.2,23.8,7.37,18,0.98,"irregular","0.25..23.8 (18 phases)",2.414,2.129,2.879,0.3304
